Last login: Thu Jul 14 14:48:48 on ttys004
hexa-l-musique:~ normandeau$ sudo tcpdump -i lo0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on lo0, link-type NULL (BSD loopback), capture size 65535 bytes
14:58:43.628324 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.628346 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.653632 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.653654 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.679843 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.679871 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.705033 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.705061 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.730263 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.730288 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.756133 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.756156 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.782141 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.782174 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.808254 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.808278 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.833513 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.833541 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.860044 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.860066 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.885250 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.885281 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.911154 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.911176 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.937244 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.937282 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.962644 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.962665 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.988093 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:43.988117 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.014190 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.014225 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.039507 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.039529 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.065169 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.065192 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.091163 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.091195 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.120543 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.120568 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.145705 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.145778 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.171596 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.171621 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.196853 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.196880 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.223035 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.223064 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.249405 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.249433 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.275157 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.275178 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.301070 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.301093 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.326355 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.326394 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.352067 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.352151 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.377346 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.377376 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.403167 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.403199 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.432221 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.432244 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.458169 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.458191 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.484134 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.484157 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.509440 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.509468 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.538074 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.538102 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.563434 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.563474 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.588772 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.588795 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.614108 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.614145 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.641272 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.641300 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.666530 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.666558 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.692335 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.692358 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.717661 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.717684 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.743216 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.743239 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.768481 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.768514 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.794504 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.794526 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.819801 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.819825 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.845034 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.845057 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.871202 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.871224 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.897330 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.897419 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.923183 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.923217 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.949308 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.949385 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.975194 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:44.975217 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.001293 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.001316 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.026459 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.026486 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.051796 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.051839 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.077274 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.077383 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.103189 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.103217 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.128426 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.128449 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.154199 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.154238 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.179969 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.179993 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.206138 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.206161 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.231571 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.231603 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.256948 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.256980 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.282208 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.282236 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.308223 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.308245 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.333607 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.333631 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.359392 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.359456 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.384709 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.384731 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.410142 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.410169 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.435342 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.435445 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.461318 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.461398 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.486581 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.486605 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.512185 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.512209 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.537463 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.537485 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.562813 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.562836 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.588094 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.588117 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.614144 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.614168 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.639408 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.639436 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.665262 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.665284 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.691217 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.691239 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.717293 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.717374 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.743129 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.743152 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.768750 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.768777 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.794070 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.794093 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.819361 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.819391 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.845227 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.845252 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.870573 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.870597 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.895818 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.895851 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.921219 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.921241 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.946587 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.946610 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.972172 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.972194 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.997461 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:45.997495 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.022742 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.022767 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.048115 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.048141 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.074229 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.074254 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.100254 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.100285 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.126270 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.126293 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.151605 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.151628 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.177653 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.177678 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.204085 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.204125 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.230146 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.230169 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.256244 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.256266 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.282245 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.282267 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.307587 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.307610 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.332855 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.332886 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.358218 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.358247 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.383483 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.383505 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.409330 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.409354 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.434629 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.434654 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.460050 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.460077 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.485589 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.485613 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.510856 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.510880 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.542734 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.542756 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.568124 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.568152 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.594227 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.594249 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.620387 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.620412 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.646548 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.646576 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.672135 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.672157 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.697323 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.697353 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.723202 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.723233 IP localhost.57272 > localhost.18032: UDP, length 40
14:58:46.749131 IP localhost.57272 > localhost.18032: UDP, length 40
